price,timestamp,capital,action
63037.99,2024-09-20 01:00:00,-1235632.201,buy
63125.01,2024-09-20 02:00:00,-1241944.7019999998,buy
63742.16,2024-09-20 03:00:00,-1248318.9179999998,buy
63843.81,2024-09-20 04:00:00,-1254703.2989999999,buy
63809.99,2024-09-20 05:00:00,-1261084.298,buy
63795.33,2024-09-20 06:00:00,-1267463.831,buy
63524.8,2024-09-20 07:00:00,-1273816.311,buy
63298.91,2024-09-20 08:00:00,-1280146.202,buy
63468.0,2024-09-20 09:00:00,-1286493.002,buy
63664.0,2024-09-20 10:00:00,-1292859.402,buy
63440.0,2024-09-20 11:00:00,-1299203.402,buy
63417.45,2024-09-20 12:00:00,-1305545.147,buy
62836.46,2024-09-20 13:00:00,-1311828.793,buy
63037.53,2024-09-20 14:00:00,-1318132.546,buy
63153.99,2024-09-20 15:00:00,-1324447.945,buy
62872.5,2024-09-20 16:00:00,-1330735.195,buy
62704.0,2024-09-20 17:00:00,-1337005.595,buy
62865.45,2024-09-20 18:00:00,-1343292.14,buy
62809.13,2024-09-20 19:00:00,-1349573.0529999998,buy
62814.0,2024-09-20 20:00:00,-1355854.4529999997,buy
63116.03,2024-09-20 21:00:00,-1362166.0559999996,buy
63180.24,2024-09-20 22:00:00,-1368484.0799999996,buy
63201.05,2024-09-20 23:00:00,-1374804.1849999996,buy
63174.0,2024-09-21 00:00:00,-1381121.5849999995,buy
62836.98,2024-09-21 01:00:00,-1387405.2829999996,buy
62917.11,2024-09-21 02:00:00,-1393696.9939999995,buy
62889.57,2024-09-21 03:00:00,-1399985.9509999994,buy
62860.0,2024-09-21 04:00:00,-1406271.9509999994,buy
62908.82,2024-09-21 05:00:00,-1412562.8329999994,buy
62999.98,2024-09-21 06:00:00,-1418862.8309999993,buy
63091.02,2024-09-21 07:00:00,-1425171.9329999993,buy
63028.0,2024-09-21 08:00:00,-1431474.7329999993,buy
63115.99,2024-09-21 09:00:00,-1437786.3319999992,buy
62979.05,2024-09-21 10:00:00,-1444084.2369999993,buy
63089.77,2024-09-21 11:00:00,-1450393.2139999992,buy
63151.98,2024-09-21 12:00:00,-1456708.4119999993,buy
63188.0,2024-09-21 13:00:00,-1463027.2119999994,buy
63300.0,2024-09-21 14:00:00,-1469357.2119999994,buy
63167.98,2024-09-21 15:00:00,-1475674.0099999993,buy
63215.13,2024-09-21 16:00:00,-1481995.5229999993,buy
63279.99,2024-09-21 17:00:00,-1488323.5219999994,buy
